id;inn;full_name;short_name
10058;9102068727;Государственное бюджетное учреждение Республики Крым «Многофункциональный центр предоставления государственных и муниципальных услуг»;Государственное бюджетное учреждение Республики Крым «Многофункциональный центр предоставления государственных и муниципальных услуг»
10059;0572004299;"Государственное автономное учреждение Республики Дагестан ""Многофункциональный центр предоставления государственных и муниципальных услуг в Республике Дагестан""";"Государственное автономное учреждение Республики Дагестан ""Многофункциональный центр предоставления государственных и муниципальных услуг в Республике Дагестан"""
10060;6732028037;СОГБУ МФЦ;СОГБУ МФЦ
10061;5503202108;"Казенное учреждение Омской области ""Многофункциональный центр предоставления государственных и муниципальных услуг""";"Казенное учреждение Омской области ""Многофункциональный центр предоставления государственных и муниципальных услуг"""
10062;0917020689;Республиканское государственное бюджетное учреждение «Уполномоченный многофункциональный центр предоставления государственных и муниципальных услуг - Центр информационных технологий Карачаево-Черкесской Республики»;Республиканское государственное бюджетное учреждение «Уполномоченный многофункциональный центр предоставления государственных и муниципальных услуг - Центр информационных технологий Карачаево-Черкесской Республики»
10063;3906307124;"Государственное казенное учреждение Калининградской области ""Многофункциональный центр предоставления государственных и муниципальных услуг""";"Государственное казенное учреждение Калининградской области ""Многофункциональный центр предоставления государственных и муниципальных услуг"""
10064;2801178416;Государственное автономное учреждение «Многофункциональный центр предоставления государственных и муниципальных услуг Амурской области»;Государственное автономное учреждение «Многофункциональный центр предоставления государственных и муниципальных услуг Амурской области»
10065;6163129562;Государственное казенное учреждение Ростовской области «Уполномоченный многофункциональный центр предоставления государственных и муниципальных услуг»;Государственное казенное учреждение Ростовской области «Уполномоченный многофункциональный центр предоставления государственных и муниципальных услуг»
10066;7535002338;Краевое государственное автономное учреждение  «Многофункциональный центр предоставления государственных и муниципальных услуг Забайкальского края»;Краевое государственное автономное учреждение  «Многофункциональный центр предоставления государственных и муниципальных услуг Забайкальского края»
10067;4401109186;"Областное государственное казенное учреждение ""Многофункциональный центр предоставления государственных и муниципальных услуг населению""";"Областное государственное казенное учреждение ""Многофункциональный центр предоставления государственных и муниципальных услуг населению"""
10068;7842453565;"ГБУ ЛО ""МФЦ""";"ГБУ ЛО ""МФЦ"""
10069;0411142202;"Автономное учреждение Республики Алтай ""Многофункциональный центр организации предоставления государственных и муниципальных услуг""";"Автономное учреждение Республики Алтай ""Многофункциональный центр организации предоставления государственных и муниципальных услуг"""
10070;3435304433;Государственное казенное учреждение Волгоградской области «Многофункциональный центр предоставления государственных и муниципальных услуг»;Государственное казенное учреждение Волгоградской области «Многофункциональный центр предоставления государственных и муниципальных услуг»
10071;8901022910;Государственное учреждение Ямало-Ненецкого автономного округа «Многофункциональный центр предоставления государственных и муниципальных услуг»;Государственное учреждение Ямало-Ненецкого автономного округа «Многофункциональный центр предоставления государственных и муниципальных услуг»
10072;2465232270;"Краевое государственное бюджетное учреждение «Многофункциональный центр предоставления государственных и муниципальных услуг""";"Краевое государственное бюджетное учреждение «Многофункциональный центр предоставления государственных и муниципальных услуг"""
10073;5406447159;Государственное автономное учреждение Новосибирской области «Многофункциональный центр предоставления государственных и муниципальных услуг»;Государственное автономное учреждение Новосибирской области «Многофункциональный центр предоставления государственных и муниципальных услуг»
10074;6027151488;Государственное бюджетное учреждение Псковской области «Многофункциональный центр предоставления государственных и муниципальных услуг Псковской области»;Государственное бюджетное учреждение Псковской области «Многофункциональный центр предоставления государственных и муниципальных услуг Псковской области»
10075;8601025043;"Автономное учреждение Ханты-Мансийского автономного округа - Югры ""Многофункциональный центр предоставления государственных и муниципальных услуг Югры""";"Автономное учреждение Ханты-Мансийского автономного округа - Югры ""Многофункциональный центр предоставления государственных и муниципальных услуг Югры"""
10076;5321158486;"ГОАУ ""МФЦ""";"ГОАУ ""МФЦ"""
10077;3525233917;"Бюджетное учреждение Вологодской области в сфере организации предоставления государственных и муниципальных услуг ""Многофункциональный центр в г.Вологде""";"Бюджетное учреждение Вологодской области в сфере организации предоставления государственных и муниципальных услуг ""Многофункциональный центр в г.Вологде"""
10078;7017249214;ОГКУ «ТО МФЦ»;ОГКУ «ТО МФЦ»
10079;0278182064;"Республиканское государственное автономное учреждение ""Многофункциональный центр предоставления государственных и муниципальных услуг""";"Республиканское государственное автономное учреждение ""Многофункциональный центр предоставления государственных и муниципальных услуг"""
10080;3812140367;"Государственное автономное учреждение ""Иркутский областной многофункциональный центр предоставления государственных и муниципальных услуг""";"Государственное автономное учреждение ""Иркутский областной многофункциональный центр предоставления государственных и муниципальных услуг"""
10081;2983009307;Казенное учреждение Ненецкого автономного округа «Многофункциональный центр предоставления государственных и муниципальных услуг»;Казенное учреждение Ненецкого автономного округа «Многофункциональный центр предоставления государственных и муниципальных услуг»
10082;7810811987;Санкт-Петербургское государственное казенное учреждение «Многофункциональный центр предоставления государственных и муниципальных услуг»;Санкт-Петербургское государственное казенное учреждение «Многофункциональный центр предоставления государственных и муниципальных услуг»
10083;7107542094;"ГБУ ТО ""МФЦ""";"ГБУ ТО ""МФЦ"""
10084;2721187743;"Краевое государственное казенное учреждение ""Оператор систем электронного правительства Хабаровского края, МФЦ""";"Краевое государственное казенное учреждение ""Оператор систем электронного правительства Хабаровского края, МФЦ"""
10085;1001264801;Государственное бюджетное учреждение Республики Карелия «Многофункциональный центр предоставления государственных и муниципальных услуг Республики Карелия»;"ГБУ РК ""МФЦ РК"""
10086;7453255521;"Областное государственное казенное учреждение ""Многофункциональный центр предоставления государственных и муниципальных услуг Челябинской области""";"Областное государственное казенное учреждение ""Многофункциональный центр предоставления государственных и муниципальных услуг Челябинской области"""
10087;1215165815;Автономное учреждение Республики Марий Эл «Дирекция Многофункциональных центров предоставления государственных и муниципальных услуг в Республике Марий Эл»;Автономное учреждение Республики Марий Эл «Дирекция Многофункциональных центров предоставления государственных и муниципальных услуг в Республике Марий Эл»
10088;4205270220;Государственное казенное учреждение «Уполномоченный многофункциональный центр предоставления государственных и муниципальных услуг по Кемеровской области»;ГКУ «УМФЦ  по Кемеровской области»
10089;5835080816;"Государственное автономное учреждение ""Многофункциональный центр предоставления государственных и муниципальных услуг Пензенской области""";"Государственное автономное учреждение ""Многофункциональный центр предоставления государственных и муниципальных услуг Пензенской области"""
10090;1515922174;"Государственное бюджетное учреждение Республики Северная Осетия-Алания ""Многофункциональный центр предоставления государственных и муниципальных услуг»";"Государственное бюджетное учреждение Республики Северная Осетия-Алания ""Многофункциональный центр предоставления государственных и муниципальных услуг»"
10091;3015080614;"АУ АО ""МФЦ""";"АУ АО ""МФЦ"""
10092;6501250531;"Государственное бюджетное учреждение Сахалинской области ""Многофункциональный центр предоставления государственных и муниципальных услуг""";"Государственное бюджетное учреждение Сахалинской области ""Многофункциональный центр предоставления государственных и муниципальных услуг"""
10093;2130118688;Автономное учреждение Чувашской Республики «Многофункциональный центр предоставления государственных и муниципальных услуг» Министерства экономического развития, промышленности и торговли Чувашской республики;Автономное учреждение Чувашской Республики «Многофункциональный центр предоставления государственных и муниципальных услуг» Министерства экономического развития, промышленности и торговли Чувашской республики
10094;1326225410;"Государственное автономное учреждение Республики Мордовия ""Многофункциональный центр предоставления государственных и муниципальных услуг""";"Государственное автономное учреждение Республики Мордовия ""Многофункциональный центр предоставления государственных и муниципальных услуг"""
10095;6234116361;"Государственное бюджетное учреждение Рязанской области ""Многофункциональный центр предоставления государственных и муниципальных услуг Рязанской области""";"Государственное бюджетное учреждение Рязанской области ""Многофункциональный центр предоставления государственных и муниципальных услуг Рязанской области"""
10096;3666127566;Автономное учреждение Воронежской области «Многофункциональный центр предоставления государственных и муниципальных услуг»;Автономное учреждение Воронежской области «Многофункциональный центр предоставления государственных и муниципальных услуг»
10097;0816021157;Автономное учреждение Республики Калмыкия «Многофункциональный центр предоставления государственных и муниципальных услуг»;Автономное учреждение Республики Калмыкия «Многофункциональный центр предоставления государственных и муниципальных услуг»
10098;6315856597;"Государственное автономное учреждение Самарской области ""Уполномоченный многофункциональный центр предоставления государственных и муниципальных услуг Самарской области""";"Государственное автономное учреждение Самарской области ""Уполномоченный многофункциональный центр предоставления государственных и муниципальных услуг Самарской области"""
10099;4101137295;Краевое государственное казенное учреждение «Многофункциональный центр предоставления государственных и муниципальных услуг Камчатского края»;Краевое государственное казенное учреждение «Многофункциональный центр предоставления государственных и муниципальных услуг Камчатского края»
10100;6952024447;"Государственное автономное учреждение Тверской области ""Многофункциональный центр предоставления государственных и муниципальных услуг""";"Государственное автономное учреждение Тверской области ""Многофункциональный центр предоставления государственных и муниципальных услуг"""
10101;4501165240;"Государтсвенное бюджетное учреждение Курганской области ""Многофункциональный центр по предоставлению государственных и муниципальных услуг""";"Государтсвенное бюджетное учреждение Курганской области ""Многофункциональный центр по предоставлению государственных и муниципальных услуг"""
10102;1659131896;"ГБУ ""МФЦ в Республике Татарстан""";"ГБУ ""МФЦ в Республике Татарстан"""
10103;7604157656;"Государственное автономное учреждение Ярославской области ""Многофункциональный центр предоставления государственных и муниципальных услуг""";"Государственное автономное учреждение Ярославской области ""Многофункциональный центр предоставления государственных и муниципальных услуг"""
10104;9204003380;"ГКУ ""МФЦ в г. Севастополь""";"ГКУ ""МФЦ в г. Севастополь"""
10105;1101486928;Государственное автономное учреждение Республики Коми «Многофункциональный центр предоставления государственных и муниципальных услуг Республики Коми»;Государственное автономное учреждение Республики Коми «Многофункциональный центр предоставления государственных и муниципальных услуг Республики Коми»
10106;4823057137;"Областное бюджетное учреждение ""Уполномоченный многофункциональный центр Липецкой области""";"Областное бюджетное учреждение ""Уполномоченный многофункциональный центр Липецкой области"""
10107;4345045088;Кировский областной фонд поддержки малого и среднего предпринимательства (микрокредитная компания);Кировский областной фонд поддержки малого и среднего предпринимательства (микрокредитная компания)
10108;2411004894;Администрация п. Кедровый;Администрация п. Кедровый
10109;2425000554;Администрация Минусинского района;Администрация Минусинского района
10110;2446002640;Администрация города Дивногорска;Администрация города Дивногорска
